date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:18	363548/363548	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:20%20GMT	https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html	(from )
03:49:18	420/420	---M-Z	200	added ('OK')	text/plain	etag:%225f65f-5b9-5f5c474f19f0b%22	https://hindi.news18.com/robots.txt		(from )
03:49:21	63811/63811	---M--	200	added ('OK')	image/jpeg	etag:%2263ff98fc-2e9c0%22	https://images.news18.com/ibnkhabar/uploads/2023/03/2590989_HYP_0_FEATURE1677666061317.jpg?im=FitAndFill,width=1200,height=675	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/2590989_HYP_0_FEATURE1677666061317b325.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:22	333208/333208	---M-Z	200	added ('OK')	application/javascript	etag:%22c063227cfdf34f7fb8a415b35ad38299%22	http://cdn.taboola.com/libtrc/network18media-news18hindi/loader.js	C:/My%20Web%20Sites/ttyyu/cdn.taboola.com/libtrc/network18media-news18hindi/loader.js	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:23	1176/1176	---M-Z	200	added ('OK')	image/png	etag:W/%22498-17f30bd4486%22	https://hindi.news18.com/images/icons/news18_hindi_57x57_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_57x57_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:23	1415/1415	---M-Z	200	added ('OK')	image/png	etag:W/%22587-17f30bd4486%22	https://hindi.news18.com/images/icons/news18_hindi_72x72_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_72x72_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:23	1492/1492	---M-Z	200	added ('OK')	image/png	etag:W/%225d4-1840ef1eac6%22	https://hindi.news18.com/images/icons/news18_hindi_76x76_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_76x76_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:23	1972/1972	---M-Z	200	added ('OK')	image/png	etag:W/%227b4-17f30bd4485%22	https://hindi.news18.com/images/icons/news18_hindi_114x114_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_114x114_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:24	2138/2138	---M-Z	200	added ('OK')	image/png	etag:W/%2285a-17f30bd4485%22	https://hindi.news18.com/images/icons/news18_hindi_120x120_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_120x120_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:24	2511/2511	---M-Z	200	added ('OK')	image/png	etag:W/%229cf-17b2fffcc54%22	https://hindi.news18.com/images/icons/news18_hindi_144x144_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_144x144_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
